t,time_seconds,g_updates_total,particlesUpdated
0.000,0.000000,3041425,3041425
0.001,1.647949,3985304,3985304
0.001,3.295898,6903338,6903338
0.002,4.943848,7847217,7847217
0.002,6.591797,10808135,10808135
0.003,8.239746,11779532,11779532
0.003,9.887695,14700444,14700444
0.004,11.535640,15673387,15673387
0.005,13.183590,18714812,18714812
0.005,14.831540,19687925,19687925
0.006,16.479490,22609767,22609767
0.006,18.127440,23590255,23590255
0.007,19.775390,26551173,26551173
0.007,21.423340,27541673,27541673
0.008,23.071290,30463640,30463640
0.009,24.719240,31456940,31456940
0.009,26.367190,34498365,34498365
0.010,28.015140,35490306,35490306
0.010,29.663090,38413994,38413994
0.011,31.311040,39411210,39411210
0.011,32.958980,42372128,42372128
0.012,34.606930,43376517,43376517
0.013,36.254880,46304216,46304216
0.013,37.902830,47313837,47313837
0.014,39.550780,50355262,50355262
0.014,41.198730,51368454,51368454
0.015,42.846680,54296311,54296311
0.015,44.494630,55308007,55308007
0.016,46.142580,58268925,58268925
0.017,47.790530,59278839,59278839
0.017,49.438480,62207525,62207525
0.018,51.086430,63216810,63216810
0.018,52.734380,66258235,66258235
0.019,54.382320,67266878,67266878
0.019,56.030270,70196647,70196647
0.020,57.678220,71205157,71205157
0.021,59.326170,74166075,74166075
0.021,60.974120,75173610,75173610
0.022,62.622070,78098397,78098397
0.022,64.270020,79104835,79104835
0.023,65.917970,82146260,82146260
0.024,67.565920,83151614,83151614
0.024,69.213870,86076017,86076017
0.025,70.861820,87080868,87080868
0.025,72.509770,90041786,90041786
0.026,74.157710,91045207,91045207
0.026,75.805660,93969613,93969613
0.027,77.453610,94973133,94973133
0.028,79.101560,98014558,98014558
0.028,80.749510,99017710,99017710
0.029,82.397460,101942873,101942873
0.029,84.045410,102944157,102944157
0.030,85.693360,105905075,105905075
0.030,87.341310,106904728,106904728
0.031,88.989260,109838252,109838252
0.032,90.637210,110836456,110836456
0.032,92.285160,113877881,113877881
0.033,93.933110,114874909,114874909
0.033,95.581050,117812303,117812303
0.034,97.229000,118808485,118808485
0.034,98.876950,121769403,121769403
0.035,100.524900,122765390,122765390
0.036,102.172900,125704773,125704773
0.036,103.820800,126699817,126699817
0.037,105.468800,129741242,129741242
0.037,107.116700,130734958,130734958
0.038,108.764600,133674789,133674789
0.038,110.412600,134667577,134667577
0.039,112.060500,137628495,137628495
0.040,113.708500,138620673,138620673
0.040,115.356400,141560548,141560548
0.041,117.004400,142552390,142552390
0.041,118.652300,145593815,145593815
0.042,120.300300,146585044,146585044
0.042,121.948200,149524925,149524925
0.043,123.596200,150514520,150514520
0.044,125.244100,153475438,153475438
0.044,126.892100,154463078,154463078
0.045,128.540000,157402955,157402955
0.045,130.188000,158389080,158389080
0.046,131.835900,161430505,161430505
0.046,133.483900,162416123,162416123
0.047,135.131800,165355959,165355959
0.048,136.779800,166341552,166341552
0.048,138.427700,169302470,169302470
0.049,140.075700,170288026,170288026
0.049,141.723600,173227454,173227454
0.050,143.371600,174212503,174212503
0.050,145.019500,177253928,177253928
0.051,146.667500,178238072,178238072
0.052,148.315400,181176373,181176373
0.052,149.963400,182159968,182159968
0.053,151.611300,185120886,185120886
0.053,153.259300,186104429,186104429
0.054,154.907200,189041473,189041473
0.054,156.555200,190025122,190025122
0.055,158.203100,193066547,193066547
0.056,159.851100,194049956,194049956
0.056,161.499000,196986312,196986312
0.057,163.147000,197968931,197968931
0.057,164.794900,200929849,200929849
0.058,166.442900,201911771,201911771
0.058,168.090800,204849237,204849237
0.059,169.738800,205831024,205831024
0.060,171.386700,208872449,208872449
0.060,173.034700,209854903,209854903
0.061,174.682600,212793518,212793518
0.061,176.330600,213776917,213776917
0.062,177.978500,216737835,216737835
0.062,179.626500,217721811,217721811
0.063,181.274400,220661036,220661036
0.064,182.922400,221645184,221645184
0.064,184.570300,224686609,224686609
0.065,186.218300,225670581,225670581
0.065,187.866200,228606395,228606395
0.066,189.514200,229590369,229590369
0.066,191.162100,232551287,232551287
0.067,192.810100,233535717,233535717
0.068,194.458000,236457285,236457285
0.068,196.106000,237442196,237442196
0.069,197.753900,240483621,240483621
0.069,199.401900,241468525,241468525
0.070,201.049800,244389429,244389429
0.071,202.697800,245373949,245373949
0.071,204.345700,248334867,248334867
0.072,205.993700,249319099,249319099
0.072,207.641600,252240250,252240250
0.073,209.289600,253224654,253224654
0.073,210.937500,256266079,256266079
0.074,212.585400,257251059,257251059
0.075,214.233400,260172095,260172095
0.075,215.881300,261157545,261157545
0.076,217.529300,264118463,264118463
0.076,219.177200,265104029,265104029
0.077,220.825200,268024821,268024821
0.077,222.473100,269010273,269010273
0.078,224.121100,272051698,272051698
0.079,225.769000,273036895,273036895
0.079,227.417000,275957405,275957405
0.080,229.064900,276942564,276942564
0.080,230.712900,279903483,279903483
0.081,232.360800,280888811,280888811
0.081,234.008800,283809228,283809228
0.082,235.656700,284794685,284794685
0.083,237.304700,287836110,287836110
0.083,238.952600,288821388,288821388
0.084,240.600600,291741966,291741966
0.084,242.248500,292726861,292726861
0.085,243.896500,295687797,295687797
0.085,245.544400,296672651,296672651
0.086,247.192400,299593500,299593500
0.087,248.840300,300578466,300578466
0.087,250.488300,303619891,303619891
0.088,252.136200,304605278,304605278
0.088,253.784200,307526284,307526284
0.089,255.432100,308512052,308512052
0.089,257.080100,311473033,311473033
0.090,258.728000,312458854,312458854
0.091,260.376000,315379959,315379959
0.091,262.023900,316365619,316365619
0.092,263.671900,319407044,319407044
0.092,265.319800,320392589,320392589
0.093,266.967800,323313769,323313769
0.093,268.615700,324299359,324299359
0.094,270.263700,327260447,327260447
0.095,271.911600,328246058,328246058
0.095,273.559600,331167254,331167254
0.096,275.207500,332152930,332152930
0.096,276.855500,335194355,335194355
0.097,278.503400,336179877,336179877
0.097,280.151400,339100596,339100596
0.098,281.799300,340085907,340085907
0.099,283.447300,343047217,343047217
0.099,285.095200,344032531,344032531
0.100,286.743200,346950837,346950837
0.100,288.391100,347936231,347936231
0.101,290.039100,350977656,350977656
0.101,291.687000,351963231,351963231
0.102,293.335000,354878463,354878463
0.103,294.982900,355864132,355864132
0.103,296.630900,358825887,358825887
0.104,298.278800,359811412,359811412
0.104,299.926800,362725926,362725926
0.105,301.574700,363711370,363711370
0.105,303.222700,366752795,366752795
0.106,304.870600,367738119,367738119
0.107,306.518600,370654821,370654821
0.107,308.166500,371640029,371640029
0.108,309.814500,374602519,374602519
0.108,311.462400,375587594,375587594
0.109,313.110400,378507841,378507841
0.109,314.758300,379492688,379492688
0.110,316.406200,382534113,382534113
0.111,318.054200,383518611,383518611
0.111,319.702100,386439842,386439842
0.112,321.350100,387423899,387423899
0.112,322.998000,390387582,390387582
0.113,324.646000,391371316,391371316
0.113,326.293900,394292552,394292552
0.114,327.941900,395276222,395276222
0.115,329.589800,398317647,398317647
0.115,331.237800,399301212,399301212
0.116,332.885700,402222415,402222415
0.116,334.533700,403205820,403205820
0.117,336.181600,406171361,406171361
0.118,337.829600,407154406,407154406
0.118,339.477500,410076041,410076041
0.119,341.125500,411058682,411058682
0.119,342.773400,414100107,414100107
0.120,344.421400,415082362,415082362
0.120,346.069300,418007787,418007787
0.121,347.717300,418989656,418989656
0.122,349.365200,421957911,421957911
0.122,351.013200,422939286,422939286
0.123,352.661100,425870269,425870269
0.123,354.309100,426851098,426851098
0.124,355.957000,429892522,429892522
0.124,357.605000,430872663,430872663
0.125,359.252900,433809381,433809381
0.126,360.900900,434788891,434788891
0.126,362.548800,437760648,437760648
0.127,364.196800,438739599,438739599
0.127,365.844700,441678900,441678900
0.128,367.492700,442657247,442657247
0.128,369.140600,445698672,445698672
0.129,370.788600,446676593,446676593
0.130,372.436500,449616305,449616305
0.130,374.084500,450593724,450593724
0.131,375.732400,453569639,453569639
0.131,377.380400,454546497,454546497
0.132,379.028300,457486255,457486255
0.132,380.676300,458462573,458462573
0.133,382.324200,461503998,461503998
0.134,383.972200,462479746,462479746
0.134,385.620100,465419529,465419529
0.135,387.268100,466394792,466394792
0.135,388.916000,469374824,469374824
0.136,390.564000,470349547,470349547
0.136,392.211900,473289320,473289320
0.137,393.859900,474263688,474263688
0.138,395.507800,477305113,477305113
0.138,397.155800,478279226,478279226
0.139,398.803700,481218988,481218988
0.139,400.451700,482192921,482192921
0.140,402.099600,485176336,485176336
0.140,403.747600,486150244,486150244
0.141,405.395500,489089991,489089991
0.142,407.043500,490063893,490063893
0.142,408.691400,493105318,493105318
0.143,410.339400,494079332,494079332
0.143,411.987300,497019039,497019039
0.144,413.635300,497993246,497993246
0.144,415.283200,500977262,500977262
0.145,416.931200,501951501,501951501
0.146,418.579100,504891094,504891094
0.146,420.227100,505865410,505865410
0.147,421.875000,508906835,508906835
0.147,423.522900,509881268,509881268
0.148,425.170900,512820679,512820679
0.148,426.818800,513795188,513795188
0.149,428.466800,516776045,516776045
0.150,430.114700,517750680,517750680
0.150,431.762700,520689652,520689652
0.151,433.410600,521664287,521664287
0.151,435.058600,524705712,524705712
0.152,436.706500,525680373,525680373
0.152,438.354500,528618121,528618121
0.153,440.002400,529592864,529592864
0.154,441.650400,532568699,532568699
0.154,443.298300,533543553,533543553
0.155,444.946300,536478370,536478370
0.155,446.594200,537453462,537453462
0.156,448.242200,540494887,540494887
0.156,449.890100,541470218,541470218
