t,time_seconds,g_updates_total,particlesUpdated
0.000,0.000000,3041425,3041425
0.001,1.647949,3985304,3985304
0.001,3.295898,6903339,6903339
0.002,4.943848,7847218,7847218
0.002,6.591797,10808136,10808136
0.003,8.239746,11779534,11779534
0.003,9.887695,14700447,14700447
0.004,11.535640,15673390,15673390
0.005,13.183590,18714815,18714815
0.005,14.831540,19687928,19687928
0.006,16.479490,22609769,22609769
0.006,18.127440,23590254,23590254
0.007,19.775390,26551172,26551172
0.007,21.423340,27541672,27541672
0.008,23.071290,30463637,30463637
0.009,24.719240,31456933,31456933
0.009,26.367190,34498358,34498358
0.010,28.015140,35490299,35490299
0.010,29.663090,38413987,38413987
0.011,31.311040,39411204,39411204
0.011,32.958980,42372122,42372122
0.012,34.606930,43376510,43376510
0.013,36.254880,46304209,46304209
0.013,37.902830,47313834,47313834
0.014,39.550780,50355259,50355259
0.014,41.198730,51368455,51368455
0.015,42.846680,54296316,54296316
0.015,44.494630,55308012,55308012
0.016,46.142580,58268930,58268930
0.017,47.790530,59278841,59278841
0.017,49.438480,62207528,62207528
0.018,51.086430,63216812,63216812
0.018,52.734380,66258237,66258237
0.019,54.382320,67266877,67266877
0.019,56.030270,70196647,70196647
0.020,57.678220,71205152,71205152
0.021,59.326170,74166070,74166070
0.021,60.974120,75173604,75173604
0.022,62.622070,78098391,78098391
0.022,64.270020,79104832,79104832
0.023,65.917970,82146257,82146257
0.024,67.565920,83151614,83151614
0.024,69.213870,86076017,86076017
0.025,70.861820,87080863,87080863
0.025,72.509770,90041781,90041781
0.026,74.157710,91045206,91045206
0.026,75.805660,93969612,93969612
0.027,77.453610,94973130,94973130
0.028,79.101560,98014555,98014555
0.028,80.749510,99017704,99017704
0.029,82.397460,101942868,101942868
0.029,84.045410,102944151,102944151
0.030,85.693360,105905069,105905069
0.030,87.341310,106904720,106904720
0.031,88.989260,109838245,109838245
0.032,90.637210,110836449,110836449
0.032,92.285160,113877874,113877874
0.033,93.933110,114874899,114874899
0.033,95.581050,117812294,117812294
0.034,97.229000,118808480,118808480
0.034,98.876950,121769398,121769398
0.035,100.524900,122765385,122765385
0.036,102.172900,125704768,125704768
0.036,103.820800,126699814,126699814
0.037,105.468800,129741239,129741239
0.037,107.116700,130734954,130734954
0.038,108.764600,133674785,133674785
0.038,110.412600,134667575,134667575
0.039,112.060500,137628493,137628493
0.040,113.708500,138620676,138620676
0.040,115.356400,141560551,141560551
0.041,117.004400,142552400,142552400
0.041,118.652300,145593825,145593825
0.042,120.300300,146585052,146585052
0.042,121.948200,149524933,149524933
0.043,123.596200,150514525,150514525
0.044,125.244100,153475443,153475443
0.044,126.892100,154463086,154463086
0.045,128.540000,157402963,157402963
0.045,130.188000,158389085,158389085
0.046,131.835900,161430510,161430510
0.046,133.483900,162416129,162416129
0.047,135.131800,165355965,165355965
0.048,136.779800,166341557,166341557
0.048,138.427700,169302475,169302475
0.049,140.075700,170288030,170288030
0.049,141.723600,173227458,173227458
0.050,143.371600,174212502,174212502
0.050,145.019500,177253927,177253927
0.051,146.667500,178238073,178238073
0.052,148.315400,181176374,181176374
0.052,149.963400,182159977,182159977
0.053,151.611300,185120895,185120895
0.053,153.259300,186104428,186104428
0.054,154.907200,189041471,189041471
0.054,156.555200,190025111,190025111
0.055,158.203100,193066536,193066536
0.056,159.851100,194049950,194049950
0.056,161.499000,196986307,196986307
0.057,163.147000,197968916,197968916
0.057,164.794900,200929834,200929834
0.058,166.442900,201911758,201911758
0.058,168.090800,204849224,204849224
0.059,169.738800,205831011,205831011
0.060,171.386700,208872436,208872436
0.060,173.034700,209854890,209854890
0.061,174.682600,212793505,212793505
0.061,176.330600,213776905,213776905
0.062,177.978500,216737823,216737823
0.062,179.626500,217721810,217721810
0.063,181.274400,220661035,220661035
0.064,182.922400,221645189,221645189
0.064,184.570300,224686614,224686614
0.065,186.218300,225670585,225670585
0.065,187.866200,228606399,228606399
0.066,189.514200,229590382,229590382
0.066,191.162100,232551300,232551300
0.067,192.810100,233535739,233535739
0.068,194.458000,236457305,236457305
0.068,196.106000,237442220,237442220
0.069,197.753900,240483645,240483645
0.069,199.401900,241468544,241468544
0.070,201.049800,244389449,244389449
0.071,202.697800,245373973,245373973
0.071,204.345700,248334891,248334891
0.072,205.993700,249319119,249319119
0.072,207.641600,252240270,252240270
0.073,209.289600,253224672,253224672
0.073,210.937500,256266097,256266097
0.074,212.585400,257251072,257251072
0.075,214.233400,260172108,260172108
0.075,215.881300,261157559,261157559
0.076,217.529300,264118477,264118477
0.076,219.177200,265104043,265104043
0.077,220.825200,268024835,268024835
0.077,222.473100,269010290,269010290
0.078,224.121100,272051715,272051715
0.079,225.769000,273036917,273036917
0.079,227.417000,275957427,275957427
0.080,229.064900,276942585,276942585
0.080,230.712900,279903504,279903504
0.081,232.360800,280888829,280888829
0.081,234.008800,283809247,283809247
0.082,235.656700,284794711,284794711
0.083,237.304700,287836136,287836136
0.083,238.952600,288821400,288821400
0.084,240.600600,291741977,291741977
0.084,242.248500,292726879,292726879
0.085,243.896500,295687814,295687814
0.085,245.544400,296672669,296672669
0.086,247.192400,299593518,299593518
0.087,248.840300,300578489,300578489
0.087,250.488300,303619914,303619914
0.088,252.136200,304605289,304605289
0.088,253.784200,307526296,307526296
0.089,255.432100,308512065,308512065
0.089,257.080100,311473046,311473046
0.090,258.728000,312458863,312458863
0.091,260.376000,315379967,315379967
0.091,262.023900,316365635,316365635
0.092,263.671900,319407060,319407060
0.092,265.319800,320392612,320392612
0.093,266.967800,323313792,323313792
0.093,268.615700,324299382,324299382
0.094,270.263700,327260472,327260472
0.095,271.911600,328246085,328246085
0.095,273.559600,331167281,331167281
0.096,275.207500,332152962,332152962
0.096,276.855500,335194387,335194387
0.097,278.503400,336179914,336179914
0.097,280.151400,339100631,339100631
0.098,281.799300,340085944,340085944
0.099,283.447300,343047255,343047255
0.099,285.095200,344032576,344032576
0.100,286.743200,346950878,346950878
0.100,288.391100,347936275,347936275
0.101,290.039100,350977700,350977700
0.101,291.687000,351963275,351963275
0.102,293.335000,354878505,354878505
0.103,294.982900,355864182,355864182
0.103,296.630900,358825937,358825937
0.104,298.278800,359811463,359811463
0.104,299.926800,362725977,362725977
0.105,301.574700,363711432,363711432
0.105,303.222700,366752857,366752857
0.106,304.870600,367738181,367738181
0.107,306.518600,370654881,370654881
0.107,308.166500,371640073,371640073
0.108,309.814500,374602556,374602556
0.108,311.462400,375587628,375587628
0.109,313.110400,378507874,378507874
0.109,314.758300,379492726,379492726
0.110,316.406200,382534151,382534151
0.111,318.054200,383518652,383518652
0.111,319.702100,386439883,386439883
0.112,321.350100,387423944,387423944
0.112,322.998000,390387629,390387629
0.113,324.646000,391371364,391371364
0.113,326.293900,394292600,394292600
0.114,327.941900,395276270,395276270
0.115,329.589800,398317695,398317695
0.115,331.237800,399301254,399301254
0.116,332.885700,402222457,402222457
0.116,334.533700,403205845,403205845
0.117,336.181600,406171405,406171405
0.118,337.829600,407154441,407154441
0.118,339.477500,410076076,410076076
0.119,341.125500,411058728,411058728
0.119,342.773400,414100153,414100153
0.120,344.421400,415082401,415082401
0.120,346.069300,418007824,418007824
0.121,347.717300,418989706,418989706
0.122,349.365200,421957976,421957976
0.122,351.013200,422939337,422939337
0.123,352.661100,425870311,425870311
0.123,354.309100,426851139,426851139
0.124,355.957000,429892563,429892563
0.124,357.605000,430872707,430872707
0.125,359.252900,433809425,433809425
0.126,360.900900,434788923,434788923
0.126,362.548800,437760682,437760682
0.127,364.196800,438739636,438739636
0.127,365.844700,441678937,441678937
0.128,367.492700,442657290,442657290
0.128,369.140600,445698715,445698715
0.129,370.788600,446676631,446676631
0.130,372.436500,449616343,449616343
0.130,374.084500,450593762,450593762
0.131,375.732400,453569699,453569699
0.131,377.380400,454546569,454546569
0.132,379.028300,457486327,457486327
0.132,380.676300,458462630,458462630
0.133,382.324200,461504055,461504055
0.134,383.972200,462479797,462479797
0.134,385.620100,465419580,465419580
0.135,387.268100,466394823,466394823
0.135,388.916000,469374854,469374854
0.136,390.564000,470349583,470349583
0.136,392.211900,473289357,473289357
0.137,393.859900,474263717,474263717
0.138,395.507800,477305142,477305142
0.138,397.155800,478279258,478279258
0.139,398.803700,481219019,481219019
0.139,400.451700,482192961,482192961
0.140,402.099600,485176376,485176376
0.140,403.747600,486150279,486150279
0.141,405.395500,489090025,489090025
0.142,407.043500,490063932,490063932
0.142,408.691400,493105357,493105357
0.143,410.339400,494079365,494079365
0.143,411.987300,497019072,497019072
0.144,413.635300,497993261,497993261
0.144,415.283200,500977258,500977258
0.145,416.931200,501951499,501951499
0.146,418.579100,504891090,504891090
0.146,420.227100,505865407,505865407
0.147,421.875000,508906832,508906832
0.147,423.522900,509881260,509881260
0.148,425.170900,512820669,512820669
0.148,426.818800,513795176,513795176
0.149,428.466800,516776033,516776033
0.150,430.114700,517750655,517750655
0.150,431.762700,520689626,520689626
0.151,433.410600,521664267,521664267
0.151,435.058600,524705692,524705692
0.152,436.706500,525680359,525680359
0.152,438.354500,528618106,528618106
0.153,440.002400,529592837,529592837
0.154,441.650400,532568662,532568662
0.154,443.298300,533543504,533543504
0.155,444.946300,536478315,536478315
0.155,446.594200,537453400,537453400
0.156,448.242200,540494825,540494825
0.156,449.890100,541470158,541470158
