t,time_seconds,g_updates_total,particlesUpdated
0.000,0.000000,2998595,2998595
0.001,1.647949,3680759,3680759
0.001,3.295898,6492466,6492466
0.002,4.943848,7201974,7201974
0.002,6.591797,10109670,10109670
0.003,8.239746,10837989,10837989
0.003,9.887695,13650782,13650782
0.004,11.535640,14387723,14387723
0.005,13.183590,17386318,17386318
0.005,14.831540,18123261,18123261
0.006,16.479490,20936160,20936160
0.006,18.127440,21644638,21644638
0.007,19.775390,24552334,24552334
0.007,21.423340,25211996,25211996
0.008,23.071290,28024678,28024678
0.009,24.719240,28702635,28702635
0.009,26.367190,31701230,31701230
0.010,28.015140,32392361,32392361
0.010,29.663090,35205470,35205470
0.011,31.311040,35896606,35896606
0.011,32.958980,38804302,38804302
0.012,34.606930,39495508,39495508
0.013,36.254880,42320323,42320323
0.013,37.902830,43011793,43011793
0.014,39.550780,46010388,46010388
0.014,41.198730,46701917,46701917
0.015,42.846680,49562704,49562704
0.015,44.494630,50251046,50251046
0.016,46.142580,53158742,53158742
0.017,47.790530,53848086,53848086
0.017,49.438480,56723629,56723629
0.018,51.086430,57419632,57419632
0.018,52.734380,60418227,60418227
0.019,54.382320,61119982,61119982
0.019,56.030270,63996538,63996538
0.020,57.678220,64699159,64699159
0.021,59.326170,67606855,67606855
0.021,60.974120,68310063,68310063
0.022,62.622070,71186806,71186806
0.022,64.270020,71889960,71889960
0.023,65.917970,74888555,74888555
0.024,67.565920,75591844,75591844
0.024,69.213870,78468681,78468681
0.025,70.861820,79171990,79171990
0.025,72.509770,82079686,82079686
0.026,74.157710,82782192,82782192
0.026,75.805660,85659047,85659047
0.027,77.453610,86361132,86361132
0.028,79.101560,89359727,89359727
0.028,80.749510,90061716,90061716
0.029,82.397460,92938553,92938553
0.029,84.045410,93640958,93640958
0.030,85.693360,96548654,96548654
0.030,87.341310,97252219,97252219
0.031,88.989260,100128937,100128937
0.032,90.637210,100834238,100834238
0.032,92.285160,103832833,103832833
0.033,93.933110,104539036,104539036
0.033,95.581050,107415509,107415509
0.034,97.229000,108121886,108121886
0.034,98.876950,111029582,111029582
0.035,100.524900,111735623,111735623
0.036,102.172900,114611743,114611743
0.036,103.820800,115317306,115317306
0.037,105.468800,118315901,118315901
0.037,107.116700,119021264,119021264
0.038,108.764600,121896967,121896967
0.038,110.412600,122602408,122602408
0.039,112.060500,125510104,125510104
0.040,113.708500,126214989,126214989
0.040,115.356400,129090372,129090372
0.041,117.004400,129794417,129794417
0.041,118.652300,132793012,132793012
0.042,120.300300,133496303,133496303
0.042,121.948200,136371465,136371465
0.043,123.596200,137074272,137074272
0.044,125.244100,139981968,139981968
0.044,126.892100,140684771,140684771
0.045,128.540000,143559826,143559826
0.045,130.188000,144262874,144262874
0.046,131.835900,147261469,147261469
0.046,133.483900,147964477,147964477
0.047,135.131800,150839429,150839429
0.048,136.779800,151542021,151542021
0.048,138.427700,154449717,154449717
0.049,140.075700,155151569,155151569
0.049,141.723600,158026578,158026578
0.050,143.371600,158727773,158727773
0.050,145.019500,161726368,161726368
0.051,146.667500,162427220,162427220
0.052,148.315400,165302375,165302375
0.052,149.963400,166003124,166003124
0.053,151.611300,168910820,168910820
0.053,153.259300,169611346,169611346
0.054,154.907200,172486779,172486779
0.054,156.555200,173186909,173186909
0.055,158.203100,176185504,176185504
0.056,159.851100,176885329,176885329
0.056,161.499000,179761213,179761213
0.057,163.147000,180460803,180460803
0.057,164.794900,183368499,183368499
0.058,166.442900,184068077,184068077
0.058,168.090800,186944505,186944505
0.059,169.738800,187644262,187644262
0.060,171.386700,190642857,190642857
0.060,173.034700,191342608,191342608
0.061,174.682600,194219862,194219862
0.061,176.330600,194919312,194919312
0.062,177.978500,197827008,197827008
0.062,179.626500,198525974,198525974
0.063,181.274400,201404328,201404328
0.064,182.922400,202102941,202102941
0.064,184.570300,205101536,205101536
0.065,186.218300,205800014,205800014
0.065,187.866200,208679956,208679956
0.066,189.514200,209378533,209378533
0.066,191.162100,212286229,212286229
0.067,192.810100,212984959,212984959
0.068,194.458000,215867065,215867065
0.068,196.106000,216565882,216565882
0.069,197.753900,219564477,219564477
0.069,199.401900,220263336,220263336
0.070,201.049800,223148553,223148553
0.071,202.697800,223847505,223847505
0.071,204.345700,226755201,226755201
0.072,205.993700,227454498,227454498
0.072,207.641600,230343589,230343589
0.073,209.289600,231043285,231043285
0.073,210.937500,234041880,234041880
0.074,212.585400,234741775,234741775
0.075,214.233400,237635431,237635431
0.075,215.881300,238335215,238335215
0.076,217.529300,241242911,241242911
0.076,219.177200,241942395,241942395
0.077,220.825200,244840490,244840490
0.077,222.473100,245539672,245539672
0.078,224.121100,248538267,248538267
0.079,225.769000,249237325,249237325
0.079,227.417000,252139422,252139422
0.080,229.064900,252838491,252838491
0.080,230.712900,255746187,255746187
0.081,232.360800,256445540,256445540
0.081,234.008800,259350274,259350274
0.082,235.656700,260049944,260049944
0.083,237.304700,263048539,263048539
0.083,238.952600,263748718,263748718
0.084,240.600600,266654999,266654999
0.084,242.248500,267356005,267356005
0.085,243.896500,270263701,270263701
0.085,245.544400,270965839,270965839
0.086,247.192400,273872811,273872811
0.087,248.840300,274576162,274576162
0.087,250.488300,277574757,277574757
0.088,252.136200,278279133,278279133
0.088,253.784200,281186496,281186496
0.089,255.432100,281891254,281891254
0.089,257.080100,284798950,284798950
0.090,258.728000,285503612,285503612
0.091,260.376000,288411115,288411115
0.091,262.023900,289115188,289115188
0.092,263.671900,292113783,292113783
0.092,265.319800,292817356,292817356
0.093,266.967800,295724937,295724937
0.093,268.615700,296427934,296427934
0.094,270.263700,299335630,299335630
0.095,271.911600,300038236,300038236
0.095,273.559600,302945837,302945837
0.096,275.207500,303648083,303648083
0.096,276.855500,306646678,306646678
0.097,278.503400,307348657,307348657
0.097,280.151400,310256320,310256320
0.098,281.799300,310957961,310957961
0.099,283.447300,313865657,313865657
0.099,285.095200,314567149,314567149
0.100,286.743200,317474828,317474828
0.100,288.391100,318176306,318176306
0.101,290.039100,321174901,321174901
0.101,291.687000,321876265,321876265
0.102,293.335000,324783957,324783957
0.103,294.982900,325484830,325484830
0.103,296.630900,328392529,328392529
0.104,298.278800,329092934,329092934
0.104,299.926800,332000630,332000630
0.105,301.574700,332700639,332700639
0.105,303.222700,335699234,335699234
0.106,304.870600,336398609,336398609
0.107,306.518600,339306305,339306305
0.107,308.166500,340005284,340005284
0.108,309.814500,342912994,342912994
0.108,311.462400,343611774,343611774
0.109,313.110400,346519459,346519459
0.109,314.758300,347217890,347217890
0.110,316.406200,350216485,350216485
0.111,318.054200,350914756,350914756
0.111,319.702100,353822333,353822333
0.112,321.350100,354520407,354520407
0.112,322.998000,357428155,357428155
0.113,324.646000,358125979,358125979
0.113,326.293900,361017937,361017937
0.114,327.941900,361715593,361715593
0.115,329.589800,364714188,364714188
0.115,331.237800,365411781,365411781
0.116,332.885700,368267335,368267335
0.116,334.533700,368964752,368964752
0.117,336.181600,371872590,371872590
0.118,337.829600,372569739,372569739
0.118,339.477500,375417526,375417526
0.119,341.125500,376114335,376114335
0.119,342.773400,379112930,379112930
0.120,344.421400,379809455,379809455
0.120,346.069300,382656814,382656814
0.121,347.717300,383353154,383353154
0.122,349.365200,386261235,386261235
0.122,351.013200,386957439,386957439
0.123,352.661100,389804791,389804791
0.123,354.309100,390500893,390500893
0.124,355.957000,393499488,393499488
0.124,357.605000,394195544,394195544
0.125,359.252900,397042896,397042896
0.126,360.900900,397738875,397738875
0.126,362.548800,400647350,400647350
0.127,364.196800,401343270,401343270
0.127,365.844700,404190620,404190620
0.128,367.492700,404886457,404886457
0.128,369.140600,407885052,407885052
0.129,370.788600,408580827,408580827
0.130,372.436500,411428179,411428179
0.130,374.084500,412123787,412123787
0.131,375.732400,415032815,415032815
0.131,377.380400,415728236,415728236
0.132,379.028300,418575586,418575586
0.132,380.676300,419270821,419270821
0.133,382.324200,422269416,422269416
0.134,383.972200,422964536,422964536
0.134,385.620100,425811880,425811880
0.135,387.268100,426506918,426506918
0.135,388.916000,429416561,429416561
0.136,390.564000,430111588,430111588
0.136,392.211900,432958925,432958925
0.137,393.859900,433654005,433654005
0.138,395.507800,436652600,436652600
0.138,397.155800,437347768,437347768
0.139,398.803700,440195077,440195077
0.139,400.451700,440890377,440890377
0.140,402.099600,443800193,443800193
0.140,403.747600,444495645,444495645
0.141,405.395500,447342869,447342869
0.142,407.043500,448038458,448038458
0.142,408.691400,451037053,451037053
0.143,410.339400,451732757,451732757
0.143,411.987300,454580507,454580507
0.144,413.635300,455276378,455276378
0.144,415.283200,458185720,458185720
0.145,416.931200,458881685,458881685
0.146,418.579100,461733269,461733269
0.146,420.227100,462429264,462429264
0.147,421.875000,465427859,465427859
0.147,423.522900,466123861,466123861
0.148,425.170900,468984396,468984396
0.148,426.818800,469680386,469680386
0.149,428.466800,472589173,472589173
0.150,430.114700,473285184,473285184
0.150,431.762700,476146369,476146369
0.151,433.410600,476842447,476842447
0.151,435.058600,479841042,479841042
0.152,436.706500,480537145,480537145
0.152,438.354500,483387475,483387475
0.153,440.002400,484083631,484083631
0.154,441.650400,486992296,486992296
0.154,443.298300,487688524,487688524
0.155,444.946300,490538514,490538514
0.155,446.594200,491234941,491234941
0.156,448.242200,494233536,494233536
0.156,449.890100,494930149,494930149
0.157,451.538100,497784767,497784767
0.158,453.186000,498481557,498481557
0.158,454.834000,501390405,501390405
0.159,456.481900,502087329,502087329
0.159,458.129900,504949384,504949384
0.160,459.777800,505646352,505646352
0.161,461.425800,508644947,508644947
0.161,463.073700,509341913,509341913
0.162,464.721700,512209856,512209856
0.162,466.369600,512906807,512906807
0.163,468.017600,515816034,515816034
0.163,469.665500,516512942,516512942
0.164,471.313500,519388346,519388346
0.165,472.961400,520085221,520085221
0.165,474.609400,523083816,523083816
0.166,476.257300,523780690,523780690
0.166,477.905300,526665612,526665612
0.167,479.553200,527362542,527362542
0.167,481.201200,530272553,530272553
0.168,482.849100,530969592,530969592
0.169,484.497100,533858895,533858895
0.169,486.145000,534556071,534556071
0.170,487.793000,537554666,537554666
0.170,489.440900,538251969,538251969
0.171,491.088900,541142947,541142947
0.171,492.736800,541840387,541840387
0.172,494.384800,544761614,544761614
0.173,496.032700,545459161,545459161
0.173,497.680700,548346731,548346731
0.174,499.328600,549044349,549044349
0.174,500.976600,552042944,552042944
0.175,502.624500,552740514,552740514
0.175,504.272500,555622631,555622631
0.176,505.920400,556320218,556320218
0.177,507.568400,559266095,559266095
0.177,509.216300,559963668,559963668
0.178,510.864300,562841221,562841221
0.178,512.512200,563538667,563538667
0.179,514.160200,566537262,566537262
0.179,515.808100,567234680,567234680
0.180,517.456100,570112476,570112476
0.181,519.104000,570809882,570809882
0.181,520.752000,573754069,573754069
0.182,522.399900,574451523,574451523
0.182,524.047900,577330814,577330814
0.183,525.695800,578028348,578028348
0.183,527.343800,581026943,581026943
0.184,528.991700,581724544,581724544
0.185,530.639600,584604747,584604747
0.185,532.287600,585302445,585302445
0.186,533.935500,588236764,588236764
0.186,535.583500,588934559,588934559
0.187,537.231400,591814668,591814668
0.187,538.879400,592512525,592512525
0.188,540.527300,595511120,595511120
0.189,542.175300,596209065,596209065
0.189,543.823200,599088155,599088155
0.190,545.471200,599786150,599786150
0.190,547.119100,602719978,602719978
0.191,548.767100,603417960,603417960
0.191,550.415000,606295010,606295010
0.192,552.063000,606992953,606992953
0.193,553.710900,609991548,609991548
0.193,555.358900,610689496,610689496
0.194,557.006800,613563490,613563490
0.194,558.654800,614261428,614261428
0.195,560.302700,617196476,617196476
0.195,561.950700,617894388,617894388
0.196,563.598600,620765265,620765265
0.197,565.246600,621463186,621463186
0.197,566.894500,624461781,624461781
0.198,568.542500,625159775,625159775
0.198,570.190400,628028689,628028689
0.199,571.838400,628726767,628726767
0.199,573.486300,631661864,631661864
0.200,575.134300,632360068,632360068
0.201,576.782200,635229077,635229077
0.201,578.430200,635927355,635927355
0.202,580.078100,638925950,638925950
0.202,581.726100,639624309,639624309
0.203,583.374000,642495441,642495441
0.203,585.022000,643193843,643193843
0.204,586.669900,646129705,646129705
0.205,588.317900,646828156,646828156
0.205,589.965800,649701292,649701292
0.206,591.613800,650399668,650399668
0.206,593.261700,653398263,653398263
0.207,594.909700,654096622,654096622
0.208,596.557600,656970983,656970983
0.208,598.205600,657669305,657669305
0.209,599.853500,660608244,660608244
0.209,601.501500,661306454,661306454
0.210,603.149400,664181546,664181546
0.210,604.797400,664879750,664879750
0.211,606.445300,667878345,667878345
0.212,608.093300,668576487,668576487
0.212,609.741200,671452105,671452105
0.213,611.389200,672150236,672150236
0.213,613.037100,675095387,675095387
0.214,614.685100,675793458,675793458
0.214,616.333000,678669448,678669448
0.215,617.981000,679367512,679367512
0.216,619.628900,682366107,682366107
0.216,621.276900,683064090,683064090
0.217,622.924800,685940262,685940262
0.217,624.572800,686638124,686638124
0.218,626.220700,689588785,689588785
0.218,627.868700,690286403,690286403
0.219,629.516600,693162570,693162570
0.220,631.164600,693859792,693859792
0.220,632.812500,696858387,696858387
0.221,634.460400,697555071,697555071
0.221,636.108400,700430902,700430902
0.222,637.756300,701126842,701126842
0.222,639.404300,704079968,704079968
0.223,641.052200,704775091,704775091
0.224,642.700200,707650163,707650163
0.224,644.348100,708344356,708344356
0.225,645.996100,711342951,711342951
0.225,647.644000,712036258,712036258
0.226,649.292000,714910085,714910085
0.226,650.939900,715602808,715602808
0.227,652.587900,718557342,718557342
0.228,654.235800,719249661,719249661
0.228,655.883800,722122002,722122002
0.229,657.531700,722814225,722814225
0.229,659.179700,725812820,725812820
0.230,660.827600,726504997,726504997
0.230,662.475600,729375835,729375835
0.231,664.123500,730068074,730068074
0.232,665.771500,733024259,733024259
0.232,667.419400,733716474,733716474
0.233,669.067400,736586382,736586382
0.233,670.715300,737278613,737278613
0.234,672.363300,740277208,740277208
0.234,674.011200,740969527,740969527
0.235,675.659200,743838966,743838966
0.236,677.307100,744531389,744531389
0.236,678.955100,747489709,747489709
0.237,680.603000,748182227,748182227
0.237,682.251000,751052000,751052000
0.238,683.898900,751744626,751744626
0.238,685.546900,754743221,754743221
0.239,687.194800,755435950,755435950
0.240,688.842800,758306516,758306516
0.240,690.490700,758999411,758999411
0.241,692.138700,761960187,761960187
0.241,693.786600,762653232,762653232
0.242,695.434600,765524845,765524845
0.242,697.082500,766218018,766218018
0.243,698.730500,769216613,769216613
0.244,700.378400,769909895,769909895
0.244,702.026400,772782405,772782405
0.245,703.674300,773475828,773475828
0.245,705.322300,776439257,776439257
0.246,706.970200,777132804,777132804
0.246,708.618200,780006068,780006068
0.247,710.266100,780699719,780699719
0.248,711.914100,783698314,783698314
0.248,713.562000,784392115,784392115
0.249,715.210000,787266003,787266003
0.249,716.857900,787959923,787959923
0.250,718.505900,790925678,790925678
0.250,720.153800,791619724,791619724
0.251,721.801800,794494107,794494107
0.252,723.449700,795188240,795188240
0.252,725.097700,798186835,798186835
0.253,726.745600,798881060,798881060
0.253,728.393600,801755739,801755739
0.254,730.041500,802450052,802450052
0.255,731.689500,805417556,805417556
0.255,733.337400,806111938,806111938
0.256,734.985400,808986923,808986923
0.256,736.633300,809681383,809681383
0.257,738.281200,812679978,812679978
0.257,739.929200,813374505,813374505
0.258,741.577100,816249639,816249639
0.259,743.225100,816944193,816944193
0.259,744.873000,819913318,819913318
