t,time_seconds,g_updates_total,particlesUpdated
0.000,0.000000,3160932,3160932
0.001,1.647949,4060851,4060851
0.001,3.295898,7132312,7132312
0.002,4.943848,8032231,8032231
0.002,6.591797,11103732,11103732
0.003,8.239746,12003651,12003651
0.003,9.887695,15075147,15075147
0.004,11.535640,15981919,15981919
0.005,13.183590,19142851,19142851
0.005,14.831540,20058722,20058722
0.006,16.479490,23130221,23130221
0.006,18.127440,24034219,24034219
0.007,19.775390,27105720,27105720
0.007,21.423340,28007839,28007839
0.008,23.071290,31079339,31079339
0.009,24.719240,31985630,31985630
0.009,26.367190,35146562,35146562
0.010,28.015140,36054154,36054154
0.010,29.663090,39125655,39125655
0.011,31.311040,40034973,40034973
0.011,32.958980,43106474,43106474
0.012,34.606930,44019164,44019164
0.013,36.254880,47090665,47090665
0.013,37.902830,48003867,48003867
0.014,39.550780,51164799,51164799
0.014,41.198730,52078285,52078285
0.015,42.846680,55149786,55149786
0.015,44.494630,56062452,56062452
0.016,46.142580,59133953,59133953
0.017,47.790530,60045110,60045110
0.017,49.438480,63116611,63116611
0.018,51.086430,64027335,64027335
0.018,52.734380,67188267,67188267
0.019,54.382320,68098102,68098102
0.019,56.030270,71169603,71169603
0.020,57.678220,72079936,72079936
0.021,59.326170,75151437,75151437
0.021,60.974120,76063627,76063627
0.022,62.622070,79135128,79135128
0.022,64.270020,80048616,80048616
0.023,65.917970,83209548,83209548
0.024,67.565920,84124096,84124096
0.024,69.213870,87195597,87195597
0.025,70.861820,88111465,88111465
0.025,72.509770,91182966,91182966
0.026,74.157710,92099445,92099445
0.026,75.805660,95170946,95170946
0.027,77.453610,96087523,96087523
0.028,79.101560,99248455,99248455
0.028,80.749510,100165563,100165563
0.029,82.397460,103237064,103237064
0.029,84.045410,104153996,104153996
0.030,85.693360,107225497,107225497
0.030,87.341310,108140995,108140995
0.031,88.989260,111212496,111212496
0.032,90.637210,112126990,112126990
0.032,92.285160,115287922,115287922
0.033,93.933110,116202112,116202112
0.033,95.581050,119273613,119273613
0.034,97.229000,120187964,120187964
0.034,98.876950,123259465,123259465
0.035,100.524900,124174667,124174667
0.036,102.172900,127246168,127246168
0.036,103.820800,128162567,128162567
0.037,105.468800,131323499,131323499
0.037,107.116700,132240008,132240008
0.038,108.764600,135311509,135311509
0.038,110.412600,136227760,136227760
0.039,112.060500,139299261,139299261
0.040,113.708500,140214980,140214980
0.040,115.356400,143286481,143286481
0.041,117.004400,144201582,144201582
0.041,118.652300,147362514,147362514
0.042,120.300300,148276843,148276843
0.042,121.948200,151348344,151348344
0.043,123.596200,152261805,152261805
0.044,125.244100,155333306,155333306
0.044,126.892100,156245413,156245413
0.045,128.540000,159316914,159316914
0.045,130.188000,160227737,160227737
0.046,131.835900,163388669,163388669
0.046,133.483900,164298817,164298817
0.047,135.131800,167370318,167370318
0.048,136.779800,168280327,168280327
0.048,138.427700,171351828,171351828
0.049,140.075700,172262130,172262130
0.049,141.723600,175333631,175333631
0.050,143.371600,176244292,176244292
0.050,145.019500,179405224,179405224
0.051,146.667500,180315752,180315752
0.052,148.315400,183387253,183387253
0.052,149.963400,184297275,184297275
0.053,151.611300,187368776,187368776
0.053,153.259300,188278268,188278268
0.054,154.907200,191349769,191349769
0.054,156.555200,192258969,192258969
0.055,158.203100,195419901,195419901
0.056,159.851100,196328953,196328953
0.056,161.499000,199400454,199400454
0.057,163.147000,200309136,200309136
0.057,164.794900,203380637,203380637
0.058,166.442900,204288858,204288858
0.058,168.090800,207360359,207360359
0.059,169.738800,208268158,208268158
0.060,171.386700,211429090,211429090
0.060,173.034700,212336707,212336707
0.061,174.682600,215408208,215408208
0.061,176.330600,216316024,216316024
0.062,177.978500,219387525,219387525
0.062,179.626500,220295851,220295851
0.063,181.274400,223367352,223367352
0.064,182.922400,224276014,224276014
0.064,184.570300,227436946,227436946
0.065,186.218300,228345759,228345759
0.065,187.866200,231417260,231417260
0.066,189.514200,232326043,232326043
0.066,191.162100,235397544,235397544
0.067,192.810100,236306251,236306251
0.068,194.458000,239377752,239377752
0.068,196.106000,240286486,240286486
0.069,197.753900,243447418,243447418
0.069,199.401900,244356260,244356260
0.070,201.049800,247427761,247427761
0.071,202.697800,248336602,248336602
0.071,204.345700,251408103,251408103
0.072,205.993700,252316771,252316771
0.072,207.641600,255388272,255388272
0.073,209.289600,256296818,256296818
0.073,210.937500,259457750,259457750
0.074,212.585400,260366276,260366276
0.075,214.233400,263437777,263437777
0.075,215.881300,264346498,264346498
0.076,217.529300,267417999,267417999
0.076,219.177200,268327012,268327012
0.077,220.825200,271398513,271398513
0.077,222.473100,272307644,272307644
0.078,224.121100,275468576,275468576
0.079,225.769000,276377660,276377660
0.079,227.417000,279449161,279449161
0.080,229.064900,280358086,280358086
0.080,230.712900,283429590,283429590
