t,time_seconds,g_updates_total,particlesUpdated
0.000,0.000000,3099181,3099181
0.001,1.647949,3672343,3672343
0.001,3.295898,6596228,6596228
0.002,4.943848,7189336,7189336
0.002,6.591797,10193675,10193675
0.003,8.239746,10797673,10797673
0.003,9.887695,13729682,13729682
0.004,11.535640,14311213,14311213
0.005,13.183590,17410394,17410394
0.005,14.831540,17986431,17986431
0.006,16.479490,20928398,20928398
0.006,18.127440,21543622,21543622
0.007,19.775390,24547961,24547961
0.007,21.423340,25188751,25188751
0.008,23.071290,28149402,28149402
0.009,24.719240,28789064,28789064
0.009,26.367190,31888245,31888245
0.010,28.015140,32534043,32534043
0.010,29.663090,35500401,35500401
0.011,31.311040,36176408,36176408
0.011,32.958980,39180747,39180747
0.012,34.606930,39849664,39849664
0.013,36.254880,42816245,42816245
0.013,37.902830,43482442,43482442
0.014,39.550780,46581623,46581623
0.014,41.198730,47247136,47247136
0.015,42.846680,50214001,50214001
0.015,44.494630,50863307,50863307
0.016,46.142580,53867646,53867646
0.017,47.790530,54508659,54508659
0.017,49.438480,57478581,57478581
0.018,51.086430,58113354,58113354
0.018,52.734380,61212535,61212535
0.019,54.382320,61841075,61841075
0.019,56.030270,64822242,64822242
0.020,57.678220,65448038,65448038
0.021,59.326170,68452377,68452377
0.021,60.974120,69078773,69078773
0.022,62.622070,72075382,72075382
0.022,64.270020,72704605,72704605
0.023,65.917970,75803786,75803786
0.024,67.565920,76438734,76438734
0.024,69.213870,79442017,79442017
0.025,70.861820,80086211,80086211
0.025,72.509770,83090550,83090550
0.026,74.157710,83748471,83748471
0.026,75.805660,86752709,86752709
0.027,77.453610,87422516,87422516
0.028,79.101560,90521697,90521697
0.028,80.749510,91197315,91197315
0.029,82.397460,94201641,94201641
0.029,84.045410,94878389,94878389
0.030,85.693360,97882728,97882728
0.030,87.341310,98557752,98557752
0.031,88.989260,101562085,101562085
0.032,90.637210,102234279,102234279
0.032,92.285160,105333460,105333460
0.033,93.933110,106002257,106002257
0.033,95.581050,109006594,109006594
0.034,97.229000,109672239,109672239
0.034,98.876950,112676578,112676578
0.035,100.524900,113340375,113340375
0.036,102.172900,116344712,116344712
0.036,103.820800,117008490,117008490
0.037,105.468800,120107671,120107671
0.037,107.116700,120773830,120773830
0.038,108.764600,123778169,123778169
0.038,110.412600,124449011,124449011
0.039,112.060500,127453350,127453350
0.040,113.708500,128129694,128129694
0.040,115.356400,131134033,131134033
0.041,117.004400,131814934,131814934
0.041,118.652300,134914115,134914115
0.042,120.300300,135598444,135598444
0.042,121.948200,138602783,138602783
0.043,123.596200,139288753,139288753
0.044,125.244100,142293092,142293092
0.044,126.892100,142978543,142978543
0.045,128.540000,145982882,145982882
0.045,130.188000,146666360,146666360
0.046,131.835900,149765541,149765541
0.046,133.483900,150445586,150445586
0.047,135.131800,153449925,153449925
0.048,136.779800,154125663,154125663
0.048,138.427700,157130002,157130002
0.049,140.075700,157801004,157801004
0.049,141.723600,160805343,160805343
0.050,143.371600,161472480,161472480
0.050,145.019500,164571661,164571661
0.051,146.667500,165236033,165236033
0.052,148.315400,168240372,168240372
0.052,149.963400,168903380,168903380
0.053,151.611300,171907719,171907719
0.053,153.259300,172570578,172570578
0.054,154.907200,175574917,175574917
0.054,156.555200,176237612,176237612
0.055,158.203100,179336793,179336793
0.056,159.851100,179998644,179998644
0.056,161.499000,183002983,183002983
0.057,163.147000,183663326,183663326
0.057,164.794900,186667665,186667665
0.058,166.442900,187325592,187325592
0.058,168.090800,190329931,190329931
0.059,169.738800,190984689,190984689
0.060,171.386700,194083870,194083870
0.060,173.034700,194735172,194735172
0.061,174.682600,197739511,197739511
0.061,176.330600,198386351,198386351
0.062,177.978500,201390690,201390690
0.062,179.626500,202032596,202032596
0.063,181.274400,205036935,205036935
0.064,182.922400,205674775,205674775
0.064,184.570300,208773956,208773956
0.065,186.218300,209408391,209408391
0.065,187.866200,212412730,212412730
0.066,189.514200,213044829,213044829
0.066,191.162100,216049168,216049168
0.067,192.810100,216680527,216680527
0.068,194.458000,219684866,219684866
0.068,196.106000,220316416,220316416
0.069,197.753900,223415597,223415597
0.069,199.401900,224046858,224046858
0.070,201.049800,227051197,227051197
0.071,202.697800,227682097,227682097
0.071,204.345700,230686436,230686436
0.072,205.993700,231316397,231316397
0.072,207.641600,234320736,234320736
0.073,209.289600,234948890,234948890
0.073,210.937500,238048071,238048071
0.074,212.585400,238674274,238674274
0.075,214.233400,241678613,241678613
0.075,215.881300,242302428,242302428
0.076,217.529300,245306767,245306767
0.076,219.177200,245927616,245927616
0.077,220.825200,248931955,248931955
0.077,222.473100,249550431,249550431
0.078,224.121100,252649612,252649612
0.079,225.769000,253266695,253266695
0.079,227.417000,256271034,256271034
0.080,229.064900,256887765,256887765
0.080,230.712900,259892104,259892104
0.081,232.360800,260510168,260510168
0.081,234.008800,263514507,263514507
0.082,235.656700,264135449,264135449
0.083,237.304700,267234630,267234630
0.083,238.952600,267858648,267858648
0.084,240.600600,270862987,270862987
0.084,242.248500,271490299,271490299
0.085,243.896500,274494638,274494638
0.085,245.544400,275124868,275124868
0.086,247.192400,278129207,278129207
0.087,248.840300,278761459,278761459
0.087,250.488300,281860640,281860640
0.088,252.136200,282494352,282494352
0.088,253.784200,285498691,285498691
0.089,255.432100,286132718,286132718
0.089,257.080100,289137057,289137057
0.090,258.728000,289770491,289770491
0.091,260.376000,292774830,292774830
0.091,262.023900,293407004,293407004
0.092,263.671900,296506185,296506185
0.092,265.319800,297136967,297136967
0.093,266.967800,300141306,300141306
0.093,268.615700,300771079,300771079
0.094,270.263700,303775418,303775418
0.095,271.911600,304404887,304404887
0.095,273.559600,307409226,307409226
0.096,275.207500,308039081,308039081
0.096,276.855500,311138262,311138262
0.097,278.503400,311768991,311768991
0.097,280.151400,314773330,314773330
0.098,281.799300,315404819,315404819
0.099,283.447300,318409158,318409158
0.099,285.095200,319041300,319041300
0.100,286.743200,322045639,322045639
0.100,288.391100,322678360,322678360
0.101,290.039100,325777541,325777541
0.101,291.687000,326410557,326410557
0.102,293.335000,329414896,329414896
0.103,294.982900,330048081,330048081
0.103,296.630900,333052422,333052422
0.104,298.278800,333685438,333685438
0.104,299.926800,336689777,336689777
0.105,301.574700,337322202,337322202
0.105,303.222700,340421383,340421383
0.106,304.870600,341053115,341053115
0.107,306.518600,344057454,344057454
0.107,308.166500,344688631,344688631
0.108,309.814500,347692982,347692982
0.108,311.462400,348323839,348323839
0.109,313.110400,351328178,351328178
0.109,314.758300,351959040,351959040
0.110,316.406200,355058221,355058221
0.111,318.054200,355689297,355689297
0.111,319.702100,358693636,358693636
0.112,321.350100,359325042,359325042
0.112,322.998000,362329433,362329433
0.113,324.646000,362961042,362961042
0.113,326.293900,365965381,365965381
0.114,327.941900,366597077,366597077
0.115,329.589800,369696258,369696258
0.115,331.237800,370327781,370327781
0.116,332.885700,373332120,373332120
0.116,334.533700,373963424,373963424
0.117,336.181600,376967958,376967958
0.118,337.829600,377598744,377598744
0.118,339.477500,380603083,380603083
0.119,341.125500,381232610,381232610
0.119,342.773400,384331791,384331791
0.120,344.421400,384959726,384959726
0.120,346.069300,387964065,387964065
0.121,347.717300,388591022,388591022
0.122,349.365200,391595864,391595864
0.122,351.013200,392222325,392222325
0.123,352.661100,395226664,395226664
0.123,354.309100,395853191,395853191
0.124,355.957000,398952372,398952372
0.124,357.605000,399579309,399579309
0.125,359.252900,402583648,402583648
0.126,360.900900,403211197,403211197
0.126,362.548800,406216568,406216568
0.127,364.196800,406844756,406844756
0.127,365.844700,409848610,409848610
0.128,367.492700,410477145,410477145
0.128,369.140600,413576326,413576326
0.129,370.788600,414204960,414204960
0.130,372.436500,417161908,417161908
0.130,374.084500,417790498,417790498
0.131,375.732400,420796507,420796507
0.131,377.380400,421424964,421424964
0.132,379.028300,424356503,424356503
0.132,380.676300,424984574,424984574
0.133,382.324200,428083755,428083755
0.134,383.972200,428711029,428711029
0.134,385.620100,431640859,431640859
0.135,387.268100,432266905,432266905
0.135,388.916000,435273316,435273316
0.136,390.564000,435898280,435898280
0.136,392.211900,438827998,438827998
0.137,393.859900,439452384,439452384
0.138,395.507800,442551565,442551565
0.138,397.155800,443176249,443176249
0.139,398.803700,446106021,446106021
0.139,400.451700,446732167,446732167
0.140,402.099600,449738147,449738147
0.140,403.747600,450365568,450365568
0.141,405.395500,453296196,453296196
0.142,407.043500,453924913,453924913
0.142,408.691400,457024094,457024094
0.143,410.339400,457653956,457653956
0.143,411.987300,460589771,460589771
0.144,413.635300,461220470,461220470
0.144,415.283200,464225616,464225616
0.145,416.931200,464856559,464856559
0.146,418.579100,467804476,467804476
0.146,420.227100,468435479,468435479
0.147,421.875000,471534660,471534660
0.147,423.522900,472165171,472165171
0.148,425.170900,475126207,475126207
0.148,426.818800,475755523,475755523
0.149,428.466800,478760226,478760226
0.150,430.114700,479387935,479387935
0.150,431.762700,482358413,482358413
0.151,433.410600,482984185,482984185
0.151,435.058600,486083366,486083366
0.152,436.706500,486706877,486706877
0.152,438.354500,489671615,489671615
0.153,440.002400,490292677,490292677
0.154,441.650400,493297323,493297323
0.154,443.298300,493915849,493915849
0.155,444.946300,496886368,496886368
0.155,446.594200,497502309,497502309
0.156,448.242200,500601490,500601490
0.156,449.890100,501215058,501215058
0.157,451.538100,504192554,504192554
0.158,453.186000,504804011,504804011
0.158,454.834000,507808764,507808764
0.159,456.481900,508418752,508418752
0.159,458.129900,511403423,511403423
0.160,459.777800,512012407,512012407
0.161,461.425800,515111588,515111588
0.161,463.073700,515719993,515719993
0.162,464.721700,518709089,518709089
0.162,466.369600,519317207,519317207
0.163,468.017600,522322332,522322332
0.163,469.665500,522930631,522930631
0.164,471.313500,525923744,525923744
0.165,472.961400,526532244,526532244
0.165,474.609400,529631425,529631425
0.166,476.257300,530240332,530240332
0.166,477.905300,533235729,533235729
0.167,479.553200,533845220,533845220
0.167,481.201200,536852916,536852916
0.168,482.849100,537463413,537463413
0.169,484.497100,540461056,540461056
0.169,486.145000,541072718,541072718
0.170,487.793000,544171899,544171899
0.170,489.440900,544785064,544785064
0.171,491.088900,547783717,547783717
0.171,492.736800,548398627,548398627
0.172,494.384800,551432036,551432036
0.173,496.032700,552048842,552048842
0.173,497.680700,555048207,555048207
0.174,499.328600,555666792,555666792
0.174,500.976600,558765973,558765973
0.175,502.624500,559386232,559386232
0.175,504.272500,562386410,562386410
0.176,505.920400,563007807,563007807
0.177,507.568400,566053148,566053148
0.177,509.216300,566675492,566675492
0.178,510.864300,569676627,569676627
0.178,512.512200,570299971,570299971
0.179,514.160200,573399152,573399152
0.179,515.808100,574023553,574023553
0.180,517.456100,577025208,577025208
0.181,519.104000,577650954,577650954
0.181,520.752000,580683800,580683800
0.182,522.399900,581311173,581311173
0.182,524.047900,584312841,584312841
0.183,525.695800,584941944,584941944
0.183,527.343800,588041125,588041125
0.184,528.991700,588672254,588672254
0.185,530.639600,591673643,591673643
0.185,532.287600,592306688,592306688
0.186,533.935500,595333457,595333457
0.186,535.583500,595968001,595968001
0.187,537.231400,598968393,598968393
0.187,538.879400,599604228,599604228
0.188,540.527300,602703409,602703409
0.189,542.175300,603340466,603340466
0.189,543.823200,606339454,606339454
0.190,545.471200,606977648,606977648
0.190,547.119100,610005470,610005470
0.191,548.767100,610644733,610644733
0.191,550.415000,613641677,613641677
0.192,552.063000,614282051,614282051
0.193,553.710900,617381232,617381232
0.193,555.358900,618022835,618022835
0.194,557.006800,621017782,621017782
0.194,558.654800,621660632,621660632
0.195,560.302700,624688086,624688086
0.195,561.950700,625332039,625332039
0.196,563.598600,628325472,628325472
0.197,565.246600,628970416,628970416
0.197,566.894500,632069597,632069597
0.198,568.542500,632715412,632715412
0.198,570.190400,635707879,635707879
0.199,571.838400,636354399,636354399
0.199,573.486300,639381919,639381919
0.200,575.134300,640028880,640028880
0.201,576.782200,643020803,643020803
0.201,578.430200,643668100,643668100
0.202,580.078100,646767281,646767281
0.202,581.726100,647414731,647414731
0.203,583.374000,650406445,650406445
0.203,585.022000,651054027,651054027
0.204,586.669900,654083379,654083379
0.205,588.317900,654730732,654730732
0.205,589.965800,657722470,657722470
0.206,591.613800,658369444,658369444
0.206,593.261700,661468625,661468625
0.207,594.909700,662114606,662114606
0.208,596.557600,665106454,665106454
0.208,598.205600,665751013,665751013
0.209,599.853500,668785954,668785954
0.209,601.501500,669428528,669428528
0.210,603.149400,672420312,672420312
0.210,604.797400,673060412,673060412
0.211,606.445300,676159593,676159593
0.212,608.093300,676796716,676796716
0.212,609.741200,679788498,679788498
0.213,611.389200,680422400,680422400
0.213,613.037100,683464988,683464988
0.214,614.685100,684095391,684095391
0.214,616.333000,687086926,687086926
0.215,617.981000,687713798,687713798
0.216,619.628900,690812979,690812979
0.216,621.276900,691436228,691436228
0.217,622.924800,694427452,694427452
0.217,624.572800,695047253,695047253
0.218,626.220700,698094328,698094328
0.218,627.868700,698711300,698711300
0.219,629.516600,701701905,701701905
0.220,631.164600,702316516,702316516
0.220,632.812500,705415697,705415697
0.221,634.460400,706028697,706028697
0.221,636.108400,709018481,709018481
0.222,637.756300,709630628,709630628
0.222,639.404300,712679906,712679906
0.223,641.052200,713291733,713291733
0.224,642.700200,716280495,716280495
0.224,644.348100,716892169,716892169
0.225,645.996100,719991350,719991350
0.225,647.644000,720602982,720602982
0.226,649.292000,723590663,723590663
0.226,650.939900,724202462,724202462
0.227,652.587900,727253974,727253974
0.228,654.235800,727865755,727865755
0.228,655.883800,730852388,730852388
0.229,657.531700,731464118,731464118
0.229,659.179700,734563299,734563299
0.230,660.827600,735175182,735175182
0.230,662.475600,738160777,738160777
0.231,664.123500,738773086,738773086
0.232,665.771500,741827363,741827363
0.232,667.419400,742440522,742440522
0.233,669.067400,745425338,745425338
0.233,670.715300,746039782,746039782
0.234,672.363300,749138963,749138963
0.234,674.011200,749755135,749755135
0.235,675.659200,752739205,752739205
0.236,677.307100,753357477,753357477
0.236,678.955100,756415047,756415047
0.237,680.603000,757035710,757035710
0.237,682.251000,760019309,760019309
0.238,683.898900,760642292,760642292
0.238,685.546900,763741473,763741473
0.239,687.194800,764366776,764366776
0.240,688.842800,767350011,767350011
0.240,690.490700,767977545,767977545
0.241,692.138700,771038946,771038946
0.241,693.786600,771668484,771668484
0.242,695.434600,774651695,774651695
0.242,697.082500,775283018,775283018
0.243,698.730500,778382199,778382199
0.244,700.378400,779015181,779015181
0.244,702.026400,781998303,781998303
0.245,703.674300,782632753,782632753
0.245,705.322300,785698142,785698142
0.246,706.970200,786333877,786333877
0.246,708.618200,789317139,789317139
0.247,710.266100,789954203,789954203
