t,time_seconds,g_updates_total,particlesUpdated
0.000,0.000000,3041425,3041425
0.001,1.647949,3985304,3985304
0.001,3.295898,6903338,6903338
0.002,4.943848,7847217,7847217
0.002,6.591797,10808135,10808135
0.003,8.239746,11779533,11779533
0.003,9.887695,14700445,14700445
0.004,11.535640,15673388,15673388
0.005,13.183590,18714813,18714813
0.005,14.831540,19687926,19687926
0.006,16.479490,22609768,22609768
0.006,18.127440,23590255,23590255
0.007,19.775390,26551173,26551173
0.007,21.423340,27541671,27541671
0.008,23.071290,30463638,30463638
0.009,24.719240,31456935,31456935
0.009,26.367190,34498360,34498360
0.010,28.015140,35490302,35490302
0.010,29.663090,38413992,38413992
0.011,31.311040,39411208,39411208
0.011,32.958980,42372126,42372126
0.012,34.606930,43376509,43376509
0.013,36.254880,46304210,46304210
0.013,37.902830,47313837,47313837
0.014,39.550780,50355262,50355262
0.014,41.198730,51368448,51368448
0.015,42.846680,54296306,54296306
0.015,44.494630,55308002,55308002
0.016,46.142580,58268920,58268920
0.017,47.790530,59278828,59278828
0.017,49.438480,62207511,62207511
0.018,51.086430,63216797,63216797
0.018,52.734380,66258222,66258222
0.019,54.382320,67266864,67266864
0.019,56.030270,70196635,70196635
0.020,57.678220,71205138,71205138
0.021,59.326170,74166056,74166056
0.021,60.974120,75173589,75173589
0.022,62.622070,78098376,78098376
0.022,64.270020,79104817,79104817
0.023,65.917970,82146242,82146242
0.024,67.565920,83151595,83151595
0.024,69.213870,86075998,86075998
0.025,70.861820,87080845,87080845
0.025,72.509770,90041763,90041763
0.026,74.157710,91045186,91045186
0.026,75.805660,93969592,93969592
0.027,77.453610,94973112,94973112
0.028,79.101560,98014537,98014537
0.028,80.749510,99017682,99017682
0.029,82.397460,101942847,101942847
0.029,84.045410,102944131,102944131
0.030,85.693360,105905049,105905049
0.030,87.341310,106904698,106904698
0.031,88.989260,109838224,109838224
0.032,90.637210,110836430,110836430
0.032,92.285160,113877855,113877855
0.033,93.933110,114874877,114874877
0.033,95.581050,117812272,117812272
0.034,97.229000,118808459,118808459
0.034,98.876950,121769377,121769377
0.035,100.524900,122765362,122765362
0.036,102.172900,125704745,125704745
0.036,103.820800,126699791,126699791
0.037,105.468800,129741216,129741216
0.037,107.116700,130734935,130734935
0.038,108.764600,133674766,133674766
0.038,110.412600,134667555,134667555
0.039,112.060500,137628473,137628473
0.040,113.708500,138620652,138620652
0.040,115.356400,141560527,141560527
0.041,117.004400,142552372,142552372
0.041,118.652300,145593797,145593797
0.042,120.300300,146585022,146585022
0.042,121.948200,149524903,149524903
0.043,123.596200,150514501,150514501
0.044,125.244100,153475419,153475419
0.044,126.892100,154463065,154463065
0.045,128.540000,157402942,157402942
0.045,130.188000,158389067,158389067
0.046,131.835900,161430492,161430492
0.046,133.483900,162416111,162416111
0.047,135.131800,165355947,165355947
0.048,136.779800,166341545,166341545
0.048,138.427700,169302463,169302463
0.049,140.075700,170288024,170288024
0.049,141.723600,173227455,173227455
0.050,143.371600,174212496,174212496
0.050,145.019500,177253921,177253921
0.051,146.667500,178238069,178238069
0.052,148.315400,181176375,181176375
0.052,149.963400,182159975,182159975
0.053,151.611300,185120893,185120893
0.053,153.259300,186104433,186104433
0.054,154.907200,189041480,189041480
0.054,156.555200,190025121,190025121
0.055,158.203100,193066546,193066546
0.056,159.851100,194049957,194049957
0.056,161.499000,196986315,196986315
0.057,163.147000,197968927,197968927
0.057,164.794900,200929845,200929845
0.058,166.442900,201911768,201911768
0.058,168.090800,204849233,204849233
0.059,169.738800,205831018,205831018
0.060,171.386700,208872443,208872443
0.060,173.034700,209854898,209854898
0.061,174.682600,212793513,212793513
0.061,176.330600,213776914,213776914
0.062,177.978500,216737832,216737832
0.062,179.626500,217721813,217721813
0.063,181.274400,220661038,220661038
0.064,182.922400,221645189,221645189
0.064,184.570300,224686614,224686614
0.065,186.218300,225670585,225670585
0.065,187.866200,228606385,228606385
0.066,189.514200,229590362,229590362
0.066,191.162100,232551280,232551280
0.067,192.810100,233535720,233535720
0.068,194.458000,236457279,236457279
0.068,196.106000,237442188,237442188
0.069,197.753900,240483613,240483613
0.069,199.401900,241468506,241468506
0.070,201.049800,244389414,244389414
0.071,202.697800,245373934,245373934
0.071,204.345700,248334852,248334852
0.072,205.993700,249319090,249319090
0.072,207.641600,252240241,252240241
0.073,209.289600,253224645,253224645
0.073,210.937500,256266070,256266070
0.074,212.585400,257251046,257251046
0.075,214.233400,260172082,260172082
0.075,215.881300,261157537,261157537
0.076,217.529300,264118455,264118455
0.076,219.177200,265104021,265104021
0.077,220.825200,268024813,268024813
0.077,222.473100,269010267,269010267
0.078,224.121100,272051692,272051692
0.079,225.769000,273036899,273036899
0.079,227.417000,275957409,275957409
0.080,229.064900,276942562,276942562
0.080,230.712900,279903481,279903481
0.081,232.360800,280888812,280888812
0.081,234.008800,283809228,283809228
0.082,235.656700,284794691,284794691
0.083,237.304700,287836116,287836116
0.083,238.952600,288821384,288821384
0.084,240.600600,291741963,291741963
0.084,242.248500,292726869,292726869
0.085,243.896500,295687804,295687804
0.085,245.544400,296672660,296672660
0.086,247.192400,299593509,299593509
0.087,248.840300,300578474,300578474
0.087,250.488300,303619899,303619899
0.088,252.136200,304605274,304605274
0.088,253.784200,307526280,307526280
0.089,255.432100,308512050,308512050
0.089,257.080100,311473031,311473031
0.090,258.728000,312458858,312458858
0.091,260.376000,315379963,315379963
0.091,262.023900,316365634,316365634
0.092,263.671900,319407059,319407059
0.092,265.319800,320392611,320392611
0.093,266.967800,323313791,323313791
0.093,268.615700,324299381,324299381
0.094,270.263700,327260472,327260472
0.095,271.911600,328246077,328246077
0.095,273.559600,331167271,331167271
0.096,275.207500,332152941,332152941
0.096,276.855500,335194366,335194366
0.097,278.503400,336179890,336179890
0.097,280.151400,339100610,339100610
0.098,281.799300,340085929,340085929
0.099,283.447300,343047240,343047240
0.099,285.095200,344032553,344032553
0.100,286.743200,346950862,346950862
0.100,288.391100,347936266,347936266
0.101,290.039100,350977691,350977691
0.101,291.687000,351963262,351963262
0.102,293.335000,354878501,354878501
0.103,294.982900,355864178,355864178
0.103,296.630900,358825931,358825931
0.104,298.278800,359811453,359811453
0.104,299.926800,362725967,362725967
0.105,301.574700,363711419,363711419
0.105,303.222700,366752844,366752844
0.106,304.870600,367738158,367738158
0.107,306.518600,370654858,370654858
0.107,308.166500,371640054,371640054
0.108,309.814500,374602544,374602544
0.108,311.462400,375587610,375587610
0.109,313.110400,378507856,378507856
0.109,314.758300,379492704,379492704
0.110,316.406200,382534129,382534129
0.111,318.054200,383518629,383518629
0.111,319.702100,386439861,386439861
0.112,321.350100,387423916,387423916
0.112,322.998000,390387602,390387602
0.113,324.646000,391371348,391371348
0.113,326.293900,394292584,394292584
0.114,327.941900,395276255,395276255
0.115,329.589800,398317680,398317680
0.115,331.237800,399301234,399301234
0.116,332.885700,402222437,402222437
0.116,334.533700,403205835,403205835
0.117,336.181600,406171384,406171384
0.118,337.829600,407154423,407154423
0.118,339.477500,410076049,410076049
0.119,341.125500,411058710,411058710
0.119,342.773400,414100135,414100135
0.120,344.421400,415082387,415082387
0.120,346.069300,418007811,418007811
0.121,347.717300,418989687,418989687
0.122,349.365200,421957949,421957949
0.122,351.013200,422939316,422939316
0.123,352.661100,425870297,425870297
0.123,354.309100,426851132,426851132
0.124,355.957000,429892556,429892556
0.124,357.605000,430872708,430872708
0.125,359.252900,433809421,433809421
0.126,360.900900,434788924,434788924
0.126,362.548800,437760673,437760673
0.127,364.196800,438739626,438739626
0.127,365.844700,441678929,441678929
0.128,367.492700,442657272,442657272
0.128,369.140600,445698697,445698697
0.129,370.788600,446676618,446676618
0.130,372.436500,449616332,449616332
0.130,374.084500,450593752,450593752
0.131,375.732400,453569678,453569678
0.131,377.380400,454546543,454546543
0.132,379.028300,457486302,457486302
0.132,380.676300,458462614,458462614
0.133,382.324200,461504039,461504039
0.134,383.972200,462479787,462479787
0.134,385.620100,465419571,465419571
0.135,387.268100,466394827,466394827
0.135,388.916000,469374874,469374874
0.136,390.564000,470349610,470349610
0.136,392.211900,473289382,473289382
0.137,393.859900,474263744,474263744
0.138,395.507800,477305169,477305169
0.138,397.155800,478279284,478279284
0.139,398.803700,481219043,481219043
0.139,400.451700,482192982,482192982
0.140,402.099600,485176410,485176410
0.140,403.747600,486150321,486150321
0.141,405.395500,489090067,489090067
0.142,407.043500,490063952,490063952
0.142,408.691400,493105377,493105377
0.143,410.339400,494079399,494079399
0.143,411.987300,497019108,497019108
0.144,413.635300,497993301,497993301
0.144,415.283200,500977306,500977306
0.145,416.931200,501951542,501951542
0.146,418.579100,504891132,504891132
0.146,420.227100,505865448,505865448
0.147,421.875000,508906873,508906873
0.147,423.522900,509881303,509881303
0.148,425.170900,512820710,512820710
0.148,426.818800,513795215,513795215
0.149,428.466800,516776061,516776061
0.150,430.114700,517750705,517750705
0.150,431.762700,520689677,520689677
0.151,433.410600,521664321,521664321
0.151,435.058600,524705746,524705746
0.152,436.706500,525680407,525680407
0.152,438.354500,528618156,528618156
0.153,440.002400,529592887,529592887
0.154,441.650400,532568720,532568720
0.154,443.298300,533543576,533543576
0.155,444.946300,536478386,536478386
0.155,446.594200,537453479,537453479
0.156,448.242200,540494904,540494904
0.156,449.890100,541470238,541470238
