t,time_seconds,g_updates_total,particlesUpdated
0.000,0.000000,3099181,3099181
0.001,1.647949,3672343,3672343
0.001,3.295898,6596228,6596228
0.002,4.943848,7189339,7189339
0.002,6.591797,10193678,10193678
0.003,8.239746,10797676,10797676
0.003,9.887695,13729684,13729684
0.004,11.535640,14311215,14311215
0.005,13.183590,17410396,17410396
0.005,14.831540,17986435,17986435
0.006,16.479490,20928408,20928408
0.006,18.127440,21543631,21543631
0.007,19.775390,24547970,24547970
0.007,21.423340,25188757,25188757
0.008,23.071290,28149399,28149399
0.009,24.719240,28789062,28789062
0.009,26.367190,31888243,31888243
0.010,28.015140,32534042,32534042
0.010,29.663090,35500399,35500399
0.011,31.311040,36176403,36176403
0.011,32.958980,39180742,39180742
0.012,34.606930,39849658,39849658
0.013,36.254880,42816239,42816239
0.013,37.902830,43482437,43482437
0.014,39.550780,46581618,46581618
0.014,41.198730,47247131,47247131
0.015,42.846680,50213996,50213996
0.015,44.494630,50863300,50863300
0.016,46.142580,53867639,53867639
0.017,47.790530,54508655,54508655
0.017,49.438480,57478580,57478580
0.018,51.086430,58113353,58113353
0.018,52.734380,61212534,61212534
0.019,54.382320,61841076,61841076
0.019,56.030270,64822248,64822248
0.020,57.678220,65448048,65448048
0.021,59.326170,68452387,68452387
0.021,60.974120,69078787,69078787
0.022,62.622070,72075402,72075402
0.022,64.270020,72704627,72704627
0.023,65.917970,75803808,75803808
0.024,67.565920,76438760,76438760
0.024,69.213870,79442042,79442042
0.025,70.861820,80086237,80086237
0.025,72.509770,83090576,83090576
0.026,74.157710,83748494,83748494
0.026,75.805660,86752732,86752732
0.027,77.453610,87422540,87422540
0.028,79.101560,90521721,90521721
0.028,80.749510,91197347,91197347
0.029,82.397460,94201673,94201673
0.029,84.045410,94878418,94878418
0.030,85.693360,97882757,97882757
0.030,87.341310,98557781,98557781
0.031,88.989260,101562114,101562114
0.032,90.637210,102234309,102234309
0.032,92.285160,105333490,105333490
0.033,93.933110,106002290,106002290
0.033,95.581050,109006627,109006627
0.034,97.229000,109672268,109672268
0.034,98.876950,112676607,112676607
0.035,100.524900,113340408,113340408
0.036,102.172900,116344745,116344745
0.036,103.820800,117008519,117008519
0.037,105.468800,120107700,120107700
0.037,107.116700,120773849,120773849
0.038,108.764600,123778188,123778188
0.038,110.412600,124449027,124449027
0.039,112.060500,127453366,127453366
0.040,113.708500,128129715,128129715
0.040,115.356400,131134054,131134054
0.041,117.004400,131814954,131814954
0.041,118.652300,134914135,134914135
0.042,120.300300,135598464,135598464
0.042,121.948200,138602803,138602803
0.043,123.596200,139288782,139288782
0.044,125.244100,142293121,142293121
0.044,126.892100,142978570,142978570
0.045,128.540000,145982909,145982909
0.045,130.188000,146666385,146666385
0.046,131.835900,149765566,149765566
0.046,133.483900,150445612,150445612
0.047,135.131800,153449951,153449951
0.048,136.779800,154125697,154125697
0.048,138.427700,157130036,157130036
0.049,140.075700,157801041,157801041
0.049,141.723600,160805380,160805380
0.050,143.371600,161472517,161472517
0.050,145.019500,164571698,164571698
0.051,146.667500,165236070,165236070
0.052,148.315400,168240409,168240409
0.052,149.963400,168903412,168903412
0.053,151.611300,171907751,171907751
0.053,153.259300,172570599,172570599
0.054,154.907200,175574938,175574938
0.054,156.555200,176237627,176237627
0.055,158.203100,179336808,179336808
0.056,159.851100,179998660,179998660
0.056,161.499000,183002999,183002999
0.057,163.147000,183663338,183663338
0.057,164.794900,186667677,186667677
0.058,166.442900,187325611,187325611
0.058,168.090800,190329950,190329950
0.059,169.738800,190984709,190984709
0.060,171.386700,194083890,194083890
0.060,173.034700,194735186,194735186
0.061,174.682600,197739525,197739525
0.061,176.330600,198386357,198386357
0.062,177.978500,201390696,201390696
0.062,179.626500,202032598,202032598
0.063,181.274400,205036937,205036937
0.064,182.922400,205674772,205674772
0.064,184.570300,208773953,208773953
0.065,186.218300,209408387,209408387
0.065,187.866200,212412726,212412726
0.066,189.514200,213044833,213044833
0.066,191.162100,216049172,216049172
0.067,192.810100,216680533,216680533
0.068,194.458000,219684872,219684872
0.068,196.106000,220316424,220316424
0.069,197.753900,223415605,223415605
0.069,199.401900,224046864,224046864
0.070,201.049800,227051203,227051203
0.071,202.697800,227682098,227682098
0.071,204.345700,230686437,230686437
0.072,205.993700,231316390,231316390
0.072,207.641600,234320729,234320729
0.073,209.289600,234948866,234948866
0.073,210.937500,238048047,238048047
0.074,212.585400,238674258,238674258
0.075,214.233400,241678597,241678597
0.075,215.881300,242302420,242302420
0.076,217.529300,245306759,245306759
0.076,219.177200,245927614,245927614
0.077,220.825200,248931953,248931953
0.077,222.473100,249550427,249550427
0.078,224.121100,252649608,252649608
0.079,225.769000,253266683,253266683
0.079,227.417000,256271022,256271022
0.080,229.064900,256887759,256887759
0.080,230.712900,259892098,259892098
0.081,232.360800,260510158,260510158
0.081,234.008800,263514497,263514497
0.082,235.656700,264135441,264135441
0.083,237.304700,267234622,267234622
0.083,238.952600,267858647,267858647
0.084,240.600600,270862986,270862986
0.084,242.248500,271490286,271490286
0.085,243.896500,274494625,274494625
0.085,245.544400,275124853,275124853
0.086,247.192400,278129192,278129192
0.087,248.840300,278761449,278761449
0.087,250.488300,281860630,281860630
0.088,252.136200,282494346,282494346
0.088,253.784200,285498685,285498685
0.089,255.432100,286132726,286132726
0.089,257.080100,289137065,289137065
0.090,258.728000,289770504,289770504
0.091,260.376000,292774843,292774843
0.091,262.023900,293407003,293407003
0.092,263.671900,296506184,296506184
0.092,265.319800,297136972,297136972
0.093,266.967800,300141311,300141311
0.093,268.615700,300771083,300771083
0.094,270.263700,303775422,303775422
0.095,271.911600,304404878,304404878
0.095,273.559600,307409217,307409217
0.096,275.207500,308039076,308039076
0.096,276.855500,311138257,311138257
0.097,278.503400,311768980,311768980
0.097,280.151400,314773319,314773319
0.098,281.799300,315404805,315404805
0.099,283.447300,318409144,318409144
0.099,285.095200,319041283,319041283
0.100,286.743200,322045622,322045622
0.100,288.391100,322678348,322678348
0.101,290.039100,325777529,325777529
0.101,291.687000,326410525,326410525
0.102,293.335000,329414864,329414864
0.103,294.982900,330048063,330048063
0.103,296.630900,333052404,333052404
0.104,298.278800,333685422,333685422
0.104,299.926800,336689761,336689761
0.105,301.574700,337322190,337322190
0.105,303.222700,340421371,340421371
0.106,304.870600,341053102,341053102
0.107,306.518600,344057441,344057441
0.107,308.166500,344688608,344688608
0.108,309.814500,347692959,347692959
0.108,311.462400,348323822,348323822
0.109,313.110400,351328161,351328161
0.109,314.758300,351959034,351959034
0.110,316.406200,355058215,355058215
0.111,318.054200,355689275,355689275
0.111,319.702100,358693614,358693614
0.112,321.350100,359325001,359325001
0.112,322.998000,362329392,362329392
0.113,324.646000,362961013,362961013
0.113,326.293900,365965352,365965352
0.114,327.941900,366597044,366597044
0.115,329.589800,369696225,369696225
0.115,331.237800,370327748,370327748
0.116,332.885700,373332087,373332087
0.116,334.533700,373963392,373963392
0.117,336.181600,376967926,376967926
0.118,337.829600,377598702,377598702
0.118,339.477500,380603041,380603041
0.119,341.125500,381232563,381232563
0.119,342.773400,384331744,384331744
0.120,344.421400,384959673,384959673
0.120,346.069300,387964012,387964012
0.121,347.717300,388590974,388590974
0.122,349.365200,391595818,391595818
0.122,351.013200,392222261,392222261
0.123,352.661100,395226600,395226600
0.123,354.309100,395853128,395853128
0.124,355.957000,398952309,398952309
0.124,357.605000,399579249,399579249
0.125,359.252900,402583588,402583588
0.126,360.900900,403211133,403211133
0.126,362.548800,406216507,406216507
0.127,364.196800,406844670,406844670
0.127,365.844700,409848522,409848522
0.128,367.492700,410477067,410477067
0.128,369.140600,413576248,413576248
0.129,370.788600,414204888,414204888
0.130,372.436500,417161831,417161831
0.130,374.084500,417790428,417790428
0.131,375.732400,420796435,420796435
0.131,377.380400,421424892,421424892
0.132,379.028300,424356419,424356419
0.132,380.676300,424984480,424984480
0.133,382.324200,428083661,428083661
0.134,383.972200,428710935,428710935
0.134,385.620100,431640765,431640765
0.135,387.268100,432266799,432266799
0.135,388.916000,435273208,435273208
0.136,390.564000,435898173,435898173
0.136,392.211900,438827892,438827892
0.137,393.859900,439452267,439452267
0.138,395.507800,442551448,442551448
0.138,397.155800,443176114,443176114
0.139,398.803700,446105884,446105884
0.139,400.451700,446732036,446732036
0.140,402.099600,449738011,449738011
0.140,403.747600,450365460,450365460
0.141,405.395500,453296077,453296077
0.142,407.043500,453924801,453924801
0.142,408.691400,457023982,457023982
0.143,410.339400,457653834,457653834
0.143,411.987300,460589675,460589675
0.144,413.635300,461220351,461220351
0.144,415.283200,464225496,464225496
0.145,416.931200,464856453,464856453
0.146,418.579100,467804347,467804347
0.146,420.227100,468435340,468435340
0.147,421.875000,471534521,471534521
0.147,423.522900,472165056,472165056
0.148,425.170900,475126110,475126110
0.148,426.818800,475755417,475755417
0.149,428.466800,478760121,478760121
0.150,430.114700,479387850,479387850
0.150,431.762700,482358351,482358351
0.151,433.410600,482984150,482984150
0.151,435.058600,486083331,486083331
0.152,436.706500,486706815,486706815
0.152,438.354500,489671557,489671557
0.153,440.002400,490292573,490292573
0.154,441.650400,493297222,493297222
0.154,443.298300,493915721,493915721
0.155,444.946300,496886248,496886248
0.155,446.594200,497502190,497502190
0.156,448.242200,500601371,500601371
0.156,449.890100,501214969,501214969
0.157,451.538100,504192455,504192455
0.158,453.186000,504803915,504803915
0.158,454.834000,507808666,507808666
0.159,456.481900,508418663,508418663
0.159,458.129900,511403344,511403344
0.160,459.777800,512012291,512012291
0.161,461.425800,515111472,515111472
0.161,463.073700,515719890,515719890
0.162,464.721700,518709001,518709001
0.162,466.369600,519317108,519317108
0.163,468.017600,522322236,522322236
0.163,469.665500,522930562,522930562
0.164,471.313500,525923675,525923675
0.165,472.961400,526532192,526532192
0.165,474.609400,529631373,529631373
0.166,476.257300,530240289,530240289
0.166,477.905300,533235687,533235687
0.167,479.553200,533845184,533845184
0.167,481.201200,536852881,536852881
0.168,482.849100,537463404,537463404
0.169,484.497100,540461059,540461059
0.169,486.145000,541072727,541072727
0.170,487.793000,544171908,544171908
0.170,489.440900,544785076,544785076
0.171,491.088900,547783739,547783739
0.171,492.736800,548398663,548398663
0.172,494.384800,551432068,551432068
0.173,496.032700,552048865,552048865
0.173,497.680700,555048231,555048231
0.174,499.328600,555666835,555666835
0.174,500.976600,558766016,558766016
0.175,502.624500,559386288,559386288
0.175,504.272500,562386465,562386465
0.176,505.920400,563007862,563007862
0.177,507.568400,566053201,566053201
0.177,509.216300,566675549,566675549
0.178,510.864300,569676680,569676680
0.178,512.512200,570300043,570300043
0.179,514.160200,573399224,573399224
0.179,515.808100,574023626,574023626
0.180,517.456100,577025286,577025286
0.181,519.104000,577651025,577651025
0.181,520.752000,580683875,580683875
0.182,522.399900,581311226,581311226
0.182,524.047900,584312892,584312892
0.183,525.695800,584941992,584941992
0.183,527.343800,588041173,588041173
0.184,528.991700,588672291,588672291
0.185,530.639600,591673678,591673678
0.185,532.287600,592306725,592306725
0.186,533.935500,595333479,595333479
0.186,535.583500,595968039,595968039
0.187,537.231400,598968438,598968438
0.187,538.879400,599604292,599604292
0.188,540.527300,602703473,602703473
0.189,542.175300,603340530,603340530
0.189,543.823200,606339518,606339518
0.190,545.471200,606977715,606977715
0.190,547.119100,610005523,610005523
0.191,548.767100,610644806,610644806
0.191,550.415000,613641741,613641741
0.192,552.063000,614282097,614282097
0.193,553.710900,617381278,617381278
0.193,555.358900,618022879,618022879
0.194,557.006800,621017827,621017827
0.194,558.654800,621660685,621660685
0.195,560.302700,624688120,624688120
0.195,561.950700,625332072,625332072
0.196,563.598600,628325502,628325502
0.197,565.246600,628970452,628970452
0.197,566.894500,632069633,632069633
0.198,568.542500,632715424,632715424
0.198,570.190400,635707889,635707889
0.199,571.838400,636354417,636354417
0.199,573.486300,639381923,639381923
0.200,575.134300,640028875,640028875
0.201,576.782200,643020799,643020799
0.201,578.430200,643668091,643668091
0.202,580.078100,646767272,646767272
0.202,581.726100,647414721,647414721
0.203,583.374000,650406429,650406429
0.203,585.022000,651053969,651053969
0.204,586.669900,654083321,654083321
0.205,588.317900,654730709,654730709
0.205,589.965800,657722459,657722459
0.206,591.613800,658369422,658369422
0.206,593.261700,661468603,661468603
0.207,594.909700,662114598,662114598
0.208,596.557600,665106425,665106425
0.208,598.205600,665750997,665750997
0.209,599.853500,668785929,668785929
0.209,601.501500,669428539,669428539
0.210,603.149400,672420325,672420325
0.210,604.797400,673060430,673060430
0.211,606.445300,676159611,676159611
0.212,608.093300,676796747,676796747
0.212,609.741200,679788543,679788543
0.213,611.389200,680422445,680422445
0.213,613.037100,683465039,683465039
0.214,614.685100,684095458,684095458
0.214,616.333000,687087006,687087006
0.215,617.981000,687713888,687713888
0.216,619.628900,690813069,690813069
0.216,621.276900,691436292,691436292
0.217,622.924800,694427530,694427530
0.217,624.572800,695047387,695047387
0.218,626.220700,698094455,698094455
0.218,627.868700,698711430,698711430
0.219,629.516600,701702033,701702033
0.220,631.164600,702316662,702316662
0.220,632.812500,705415843,705415843
0.221,634.460400,706028825,706028825
0.221,636.108400,709018621,709018621
0.222,637.756300,709630757,709630757
0.222,639.404300,712680027,712680027
0.223,641.052200,713291865,713291865
0.224,642.700200,716280635,716280635
0.224,644.348100,716892330,716892330
0.225,645.996100,719991511,719991511
0.225,647.644000,720603144,720603144
0.226,649.292000,723590825,723590825
0.226,650.939900,724202577,724202577
0.227,652.587900,727254085,727254085
0.228,654.235800,727865887,727865887
0.228,655.883800,730852530,730852530
0.229,657.531700,731464301,731464301
0.229,659.179700,734563482,734563482
0.230,660.827600,735175436,735175436
0.230,662.475600,738161027,738161027
0.231,664.123500,738773390,738773390
0.232,665.771500,741827659,741827659
0.232,667.419400,742440814,742440814
0.233,669.067400,745425636,745425636
0.233,670.715300,746040098,746040098
0.234,672.363300,749139279,749139279
0.234,674.011200,749755493,749755493
0.235,675.659200,752739560,752739560
0.236,677.307100,753357878,753357878
0.236,678.955100,756415462,756415462
0.237,680.603000,757036099,757036099
0.237,682.251000,760019701,760019701
0.238,683.898900,760642683,760642683
0.238,685.546900,763741864,763741864
0.239,687.194800,764367180,764367180
0.240,688.842800,767350420,767350420
0.240,690.490700,767977990,767977990
0.241,692.138700,771039408,771039408
0.241,693.786600,771668941,771668941
0.242,695.434600,774652134,774652134
0.242,697.082500,775283452,775283452
0.243,698.730500,778382633,778382633
0.244,700.378400,779015645,779015645
0.244,702.026400,781998756,781998756
0.245,703.674300,782633222,782633222
0.245,705.322300,785698626,785698626
0.246,706.970200,786334395,786334395
0.246,708.618200,789317652,789317652
0.247,710.266100,789954733,789954733
