t,time_seconds,g_updates_total,particlesUpdated
0.000,0.000000,3160932,3160932
0.001,1.647949,4060851,4060851
0.001,3.295898,7132312,7132312
0.002,4.943848,8032231,8032231
0.002,6.591797,11103732,11103732
0.003,8.239746,12003651,12003651
0.003,9.887695,15075147,15075147
0.004,11.535640,15981919,15981919
0.005,13.183590,19142851,19142851
0.005,14.831540,20058721,20058721
0.006,16.479490,23130220,23130220
0.006,18.127440,24034217,24034217
0.007,19.775390,27105718,27105718
0.007,21.423340,28007837,28007837
0.008,23.071290,31079337,31079337
0.009,24.719240,31985626,31985626
0.009,26.367190,35146558,35146558
0.010,28.015140,36054149,36054149
0.010,29.663090,39125650,39125650
0.011,31.311040,40034968,40034968
0.011,32.958980,43106469,43106469
0.012,34.606930,44019155,44019155
0.013,36.254880,47090656,47090656
0.013,37.902830,48003860,48003860
0.014,39.550780,51164792,51164792
0.014,41.198730,52078280,52078280
0.015,42.846680,55149781,55149781
0.015,44.494630,56062449,56062449
0.016,46.142580,59133950,59133950
0.017,47.790530,60045106,60045106
0.017,49.438480,63116607,63116607
0.018,51.086430,64027332,64027332
0.018,52.734380,67188264,67188264
0.019,54.382320,68098099,68098099
0.019,56.030270,71169600,71169600
0.020,57.678220,72079932,72079932
0.021,59.326170,75151433,75151433
0.021,60.974120,76063621,76063621
0.022,62.622070,79135122,79135122
0.022,64.270020,80048610,80048610
0.023,65.917970,83209542,83209542
0.024,67.565920,84124091,84124091
0.024,69.213870,87195592,87195592
0.025,70.861820,88111458,88111458
0.025,72.509770,91182959,91182959
0.026,74.157710,92099437,92099437
0.026,75.805660,95170938,95170938
0.027,77.453610,96087514,96087514
0.028,79.101560,99248446,99248446
0.028,80.749510,100165550,100165550
0.029,82.397460,103237051,103237051
0.029,84.045410,104153983,104153983
0.030,85.693360,107225484,107225484
0.030,87.341310,108140979,108140979
0.031,88.989260,111212480,111212480
0.032,90.637210,112126976,112126976
0.032,92.285160,115287908,115287908
0.033,93.933110,116202099,116202099
0.033,95.581050,119273600,119273600
0.034,97.229000,120187950,120187950
0.034,98.876950,123259451,123259451
0.035,100.524900,124174655,124174655
0.036,102.172900,127246156,127246156
0.036,103.820800,128162555,128162555
0.037,105.468800,131323487,131323487
0.037,107.116700,132239996,132239996
0.038,108.764600,135311497,135311497
0.038,110.412600,136227746,136227746
0.039,112.060500,139299247,139299247
0.040,113.708500,140214969,140214969
0.040,115.356400,143286470,143286470
0.041,117.004400,144201567,144201567
0.041,118.652300,147362499,147362499
0.042,120.300300,148276828,148276828
0.042,121.948200,151348329,151348329
0.043,123.596200,152261787,152261787
0.044,125.244100,155333288,155333288
0.044,126.892100,156245399,156245399
0.045,128.540000,159316900,159316900
0.045,130.188000,160227728,160227728
0.046,131.835900,163388660,163388660
0.046,133.483900,164298804,164298804
0.047,135.131800,167370305,167370305
0.048,136.779800,168280314,168280314
0.048,138.427700,171351815,171351815
0.049,140.075700,172262112,172262112
0.049,141.723600,175333613,175333613
0.050,143.371600,176244273,176244273
0.050,145.019500,179405205,179405205
0.051,146.667500,180315736,180315736
0.052,148.315400,183387237,183387237
0.052,149.963400,184297254,184297254
0.053,151.611300,187368755,187368755
0.053,153.259300,188278246,188278246
0.054,154.907200,191349747,191349747
0.054,156.555200,192258950,192258950
0.055,158.203100,195419882,195419882
0.056,159.851100,196328936,196328936
0.056,161.499000,199400437,199400437
0.057,163.147000,200309126,200309126
0.057,164.794900,203380627,203380627
0.058,166.442900,204288847,204288847
0.058,168.090800,207360348,207360348
0.059,169.738800,208268143,208268143
0.060,171.386700,211429075,211429075
0.060,173.034700,212336697,212336697
0.061,174.682600,215408198,215408198
0.061,176.330600,216316013,216316013
0.062,177.978500,219387514,219387514
0.062,179.626500,220295842,220295842
0.063,181.274400,223367343,223367343
0.064,182.922400,224276004,224276004
0.064,184.570300,227436936,227436936
0.065,186.218300,228345755,228345755
0.065,187.866200,231417256,231417256
0.066,189.514200,232326041,232326041
0.066,191.162100,235397542,235397542
0.067,192.810100,236306249,236306249
0.068,194.458000,239377750,239377750
0.068,196.106000,240286484,240286484
0.069,197.753900,243447416,243447416
0.069,199.401900,244356250,244356250
0.070,201.049800,247427751,247427751
0.071,202.697800,248336594,248336594
0.071,204.345700,251408095,251408095
0.072,205.993700,252316768,252316768
0.072,207.641600,255388269,255388269
0.073,209.289600,256296817,256296817
0.073,210.937500,259457749,259457749
0.074,212.585400,260366275,260366275
0.075,214.233400,263437776,263437776
0.075,215.881300,264346494,264346494
0.076,217.529300,267417995,267417995
0.076,219.177200,268327006,268327006
0.077,220.825200,271398507,271398507
0.077,222.473100,272307639,272307639
0.078,224.121100,275468571,275468571
0.079,225.769000,276377658,276377658
0.079,227.417000,279449159,279449159
0.080,229.064900,280358084,280358084
0.080,230.712900,283429588,283429588
